UserID,SessionNum,ActionClusterNum,DistinguishingFeatures,ActionSeq,KeywordClusterNum,Keywords,QuerySeq,pSkip,Click@1-5,MaxRR,MeanRR,AbandonmentRate,ReformulationRate,QueriesCount,ClicksPerQuery
3361896,129,-1  5,"5:NewQuery->Click1-5->Empty
5:Click1-5->Click1-5
5:NewQuery->Click1-5",NewQuery->Click1-5,-1,county/pa/ohio/state/texas/country/georgia/wachovia/company/ca,psecu,0,1,1,1,0,0,1,1
19085412,5,8  1,,NewQuery->Click1-5,8,pages/phone/phones/mobile/ringtones/cingular/verizon/telephone/call/codes,denver telephone directory,0,1,1,1,0,0,1,1
14296420,10,-1  5,"5:NewQuery->Click1-5->Empty
5:Click1-5->Click1-5
5:NewQuery->Click1-5",NewQuery->NewQuery->Click1-5->Click1-5,-1,county/pa/ohio/state/texas/country/georgia/wachovia/company/ca,strs ohio->osba ohio,0,0.5,1,1,0.5,0,2,1
1871400,71,1  3,"3:Click1-5->NewQuery
3:Click1-5->Click1-5
3:NewQuery->Click1-5",NewQuery->Click1-5->NewQuery->NewQuery->Click1-5->RefinedQuery->Click1-5->NewQuery->Click1-5->Click1-5,1,hotels/hotel/inn/casino/resort/vegas/marriott/cruises/motel/resorts,hampton inns->ramada inn->jumer's castle lodge->jumer's castle lodge champaign->jumers castle lodge champaign,0.166666667,0.8,0.833333333,0.833333333,0.2,0.2,5,1
6410557,17,1  2,"2:NextPage->NextPage
2:NextPage->Click11+
2:NewQuery->NextPage->NextPage",NewQuery,1,hotels/hotel/inn/casino/resort/vegas/marriott/cruises/motel/resorts,salt river rafting,1,0,0,0,0,0,1,0
21451648,5,21  1,,NewQuery,21,pratt/vicky/ashley/beverly/alicia/nicole/kate/julie/jessica/nina,aaliyah,1,0,0,0,1,0,1,0
10287226,2,28  1,,NewQuery->Click1-5,28,book/books/library/amazon/cliff/synopsis/bookbinding/borders/sparknotes/bookstore,barnes and nobles,0,1,1,1,0,0,1,1
17589184,0,43  1,,NewQuery,43,weather/forcast/radar/orleans/accuweather/meteorology/weatherchannel/forecast/hurricane/hartford,weather,1,0,0,0,1,0,1,0
930381,1,14  1,,NewQuery->Click1-5,14,news/newspaper/herald/magazine/journal/newspapers/tribune/gazette/obituaries/magazines,vogue xxx,0,1,1,1,0,0,1,1
21765528,37,25  1,,NewQuery->Click1-5->Click1-5->NewQuery->Click1-5->Click1-5->Click6-10,25,wedding/bridal/gifts/invitations/gowns/brides/anniversary/hallmark/tuxedos/tuxedo,hot or not->mothers day cards,0.25,1,1,0.777777778,0,0,2,2.5
